Proper,address,address 2,Town/City,County,PostCode
PR0028,Lanterns 42 West Road,,Guildford,Surrey,GU12AT
PR0046,Hazel Lodge, 110-112 London Road,Camberley,Surrey,GU153TJ
PR0087,2C Cromwell Road,,Camberley,Surrey,GU154HY
PR0052,Boundary Cottage, 56 Grindston Cres,Woking,Surrey,GU212RY
PR0019,Newlands, Maybury Hill,Woking,Surrey,GU228AH
PR0063,Noel Cottage,Maybury Hill ,Woking,Surrey,GU228AH
PR0059,5 Bicester Road,,Aylesbury,Buckinghamshire,HP199AG
PR073E,Primrose Lodge - East Wing, Stocklake,Aylesbury,Buckinghamshire,HP201AT
PR073W,Primrose Lodge - West Wing, Stocklake,Aylesbury,Buckinghamshire,HP201AT
PR075H,Aster Lodge - Downstairs, 119-121 Wendover Road,Aylesbury,Buckinghamshire,HP219LW
PR075L,Aster Lodge - Flat, 119-121 Wendover Road,Aylesbury,Buckinghamshire,HP219LW
PR075M,Aster Lodge - Upstairs, 119-121 Wendover Road,Aylesbury,Buckinghamshire,HP219LW
PR0033,81 Norbiton Avenue,,Kingston Upon Thames,Surrey,KT13QY
PR0061,348 Kingston Road,,Kingston Upon Thames,Surrey,KT33RX
PR0074,12 Warwick Road,,New Malden,Surrey,KT33SH
PR0085,The Retreat, 75 Green Lane,New Malden,Surrey,KT35BX
PR0034,3 Bodley Road,,New Malden,Surrey,KT35QD
PR0035,3 Sandhurst Avenue,Surbiton,Kingston Upon Thames,Surrey,KT59BS
PR0064,11 Oakleigh Avenue,,Surbiton,Surrey,KT67PY
PR0015,13 Ramsbury Close,,Bracknell,Berkshire,RG128GE
PR0047,22 Maldon Close,,Reading,Berkshire,RG302DH
PR0029,242 Tilehurst Road,,Reading,Berkshire,RG302NE
PR0016,65 Honey End Lane,,Reading,Berkshire,RG304EL
PR0017,66 Honey End Lane,,Reading,Berkshire,RG304EQ
PR0067,21 Nash Drive,,Redhill,Surrey,RH11LH
PR0020,60 London Road,,Redhill,Surrey,RH11LN
PR0103,44 Aldin Avenue South,,Slough,Slough,SL11RR
PR0079,32 Dolphin Road,,Slough,Slough,SL11TD
PR0065,9 Ledgers Road,,Slough,Slough,SL12QZ
PR0039,49 Keel Drive,,Slough,Slough,SL12XU
PR0010,8A Regents Court,StokePogesLane,Slough,Berkshire,SL13LG
PR0011,10 Regents Court,StokePogesLane,Slough,Berkshire,SL13LG
PR0043,11A Regents Court, Stoke Poges Lane,Slough,Slough,SL13LG
PR0008,246 Stoke Poges Lane,,Slough,Berkshire,SL13LH
PR0004,137 Stoke Poges Lane,,Slough,Berkshire,SL13LX
PR0005,190 Stoke Poges Lane,,Slough,Berkshire,SL13LX
PR0030,113 Belgrave Road,,Slough,Slough,SL13RA
PR0083,75 Penny Lets Green, Stoke Poges,Slough,Slough,SL24BX
PR0003,Netherwood - Grays Park Road,,Stoke Poges,Buckinghamshire,SL24JG
PR0060,233 Stoke Road,,Slough,Slough,SL25AX
PR0121,118 The Frithe ,,Wexham,Slough,SL25RP
PR0012,31 Laburnham Road,,Maidenhead,Berkshire,SL64DB
PR0013,31A Laburnham Road,,Maidenhead,Berkshire,SL64DB
PR0070,3 Sperling Road,,Maidenhead,Berkshire,SL67LB
PR0041,141 Bridge Road,,Maidenhead,Berkshire,SL68NQ
PR0062,410 Hillcross Avenue,,Modern,Surrey,SM44EX
PR0025,64 Queen Mary Avenue,,Morden,Surrey,SM44JR
PR0031,166 Green Lane,,Morden,Surrey,SM46SR
PR0026,440a Durnsford Road,,Wimbledon,London,SW198DZ
PR0084,Sweet Croft Lodge, 105 Sweetcroft Lane ,Uxbridge,Middlesex,UB109LG
PR0078,3 Church Close, Hayes,Uxbridge,Middlesex,UB48JW
