,Start,End,Start_string,End_string
0,2021-06-06 17:35:20.181423,2021-06-06 17:35:20.284500,17:35:20: 06-06-2021,17:35:20: 06-06-2021
1,2021-06-06 17:35:21.003276,2021-06-06 17:35:22.650157,17:35:21: 06-06-2021,17:35:22: 06-06-2021
2,2021-06-06 17:35:26.865906,2021-06-06 17:35:27.897775,17:35:26: 06-06-2021,17:35:27: 06-06-2021
3,2021-06-06 17:35:28.001005,2021-06-06 17:35:28.103447,17:35:28: 06-06-2021,17:35:28: 06-06-2021
4,2021-06-06 17:35:29.647688,2021-06-06 17:35:30.366656,17:35:29: 06-06-2021,17:35:30: 06-06-2021
5,2021-06-06 17:35:35.203449,2021-06-06 17:35:35.922603,17:35:35: 06-06-2021,17:35:35: 06-06-2021
6,2021-06-06 17:35:36.025772,2021-06-06 17:35:36.436152,17:35:36: 06-06-2021,17:35:36: 06-06-2021
7,2021-06-06 17:35:37.052562,2021-06-06 17:35:37.155349,17:35:37: 06-06-2021,17:35:37: 06-06-2021
8,2021-06-06 17:35:41.270226,2021-06-06 17:35:45.282192,17:35:41: 06-06-2021,17:35:45: 06-06-2021
9,2021-06-06 17:35:45.590803,2021-06-06 17:35:45.797051,17:35:45: 06-06-2021,17:35:45: 06-06-2021
10,2021-06-06 17:35:46.310741,2021-06-06 17:35:47.543604,17:35:46: 06-06-2021,17:35:47: 06-06-2021
11,2021-06-06 17:35:48.056319,2021-06-06 17:35:48.365924,17:35:48: 06-06-2021,17:35:48: 06-06-2021
12,2021-06-06 17:35:48.468554,2021-06-06 17:35:49.291430,17:35:48: 06-06-2021,17:35:49: 06-06-2021
13,2021-06-06 17:35:53.609140,2021-06-06 17:35:54.638084,17:35:53: 06-06-2021,17:35:54: 06-06-2021
14,2021-06-06 17:35:56.078343,2021-06-06 17:35:57.003835,17:35:56: 06-06-2021,17:35:57: 06-06-2021
15,2021-06-06 17:35:57.106379,2021-06-06 17:35:57.313528,17:35:57: 06-06-2021,17:35:57: 06-06-2021
16,2021-06-06 17:35:58.135921,2021-06-06 17:35:58.444218,17:35:58: 06-06-2021,17:35:58: 06-06-2021
17,2021-06-06 17:36:00.296328,2021-06-06 17:36:00.399449,17:36:00: 06-06-2021,17:36:00: 06-06-2021
18,2021-06-06 17:36:01.324598,2021-06-06 17:36:01.427655,17:36:01: 06-06-2021,17:36:01: 06-06-2021
19,2021-06-06 17:36:02.043630,2021-06-06 17:36:02.145975,17:36:02: 06-06-2021,17:36:02: 06-06-2021
20,2021-06-06 17:36:02.248164,2021-06-06 17:36:02.351399,17:36:02: 06-06-2021,17:36:02: 06-06-2021
21,2021-06-06 17:36:02.453441,2021-06-06 17:36:02.659154,17:36:02: 06-06-2021,17:36:02: 06-06-2021
22,2021-06-06 17:36:11.291153,2021-06-06 17:36:11.702244,17:36:11: 06-06-2021,17:36:11: 06-06-2021
23,2021-06-06 17:36:12.113842,2021-06-06 17:36:13.449254,17:36:12: 06-06-2021,17:36:13: 06-06-2021
24,2021-06-06 17:36:14.068074,2021-06-06 17:36:14.170550,17:36:14: 06-06-2021,17:36:14: 06-06-2021
25,2021-06-06 17:36:15.818471,2021-06-06 17:36:16.434706,17:36:15: 06-06-2021,17:36:16: 06-06-2021
26,2021-06-06 17:36:16.641259,2021-06-06 17:36:18.800787,17:36:16: 06-06-2021,17:36:18: 06-06-2021
27,2021-06-06 17:36:22.294111,2021-06-06 17:36:22.910007,17:36:22: 06-06-2021,17:36:22: 06-06-2021
28,2021-06-06 17:36:23.730765,2021-06-06 17:36:24.756422,17:36:23: 06-06-2021,17:36:24: 06-06-2021
29,2021-06-06 17:36:25.270688,2021-06-06 17:36:26.504598,17:36:25: 06-06-2021,17:36:26: 06-06-2021
30,2021-06-06 17:36:29.177982,2021-06-06 17:36:32.058123,17:36:29: 06-06-2021,17:36:32: 06-06-2021
31,2021-06-06 17:36:32.571405,2021-06-06 17:36:33.187878,17:36:32: 06-06-2021,17:36:33: 06-06-2021
32,2021-06-06 17:36:33.290331,2021-06-06 17:36:33.701377,17:36:33: 06-06-2021,17:36:33: 06-06-2021
33,2021-06-06 17:36:38.227879,2021-06-06 17:36:39.049828,17:36:38: 06-06-2021,17:36:39: 06-06-2021
34,2021-06-06 17:36:41.624110,2021-06-06 17:36:42.548568,17:36:41: 06-06-2021,17:36:42: 06-06-2021
35,2021-06-06 17:36:51.178503,2021-06-06 17:36:53.240151,17:36:51: 06-06-2021,17:36:53: 06-06-2021
36,2021-06-06 17:37:00.024611,2021-06-06 17:37:11.228512,17:37:00: 06-06-2021,17:37:11: 06-06-2021
