,Address,Bedrooms,Price,Activity
0,"Manor Houses, The Green, Datchet, Slough",5 bedroom terraced house for sale,"£1,475,000",Added on 14/07/2021
1,"Queens Road, Datchet, Berkshire",5 bedroom detached house for sale,"£1,350,000",Added on 20/07/2021
2,"Agars Place, Datchet, Slough, SL3",6 bedroom detached house for sale,"£1,350,000",Added on 28/06/2021
3,"Queens Road, Datchet, Slough, Berkshire, SL3",5 bedroom detached house for sale,"£1,350,000",Added on 28/07/2021
4,"Windsor Road, Datchet, Berkshire",5 bedroom semi-detached house for sale,"£1,000,000",Added on 05/08/2021
5,"The Avenue, Datchet, Berkshire, SL3",3 bedroom apartment for sale,"£850,000",Reduced on 01/03/2021
6,"Buccleuch Road, Datchet, Slough",5 bedroom detached house for sale,"£850,000",Added on 23/06/2021
7,"Hall Court, Datchet",3 bedroom detached house for sale,"£750,000",Reduced on 10/08/2021
8,"Slough Road, Datchet, Berkshire",3 bedroom detached house for sale,"£650,000",Reduced on 23/07/2021
9,"Slough Road, Datchet, Slough",3 bedroom detached house for sale,"£650,000",Added on 03/08/2021
10,Datchet,4 bedroom semi-detached house for sale,"£575,000",Added on 22/12/2020
11,"Ruscombe Gardens, Datchet, Slough",4 bedroom link detached house for sale,"£575,000",Added on 17/05/2021
12,"London Road, Datchet",4 bedroom semi-detached house for sale,"£550,000",Added on 28/07/2021
13,"The Lawn, Datchet, Slough",2 bedroom ground floor flat for sale,"£550,000",Reduced on 05/07/2021
14,"The Green, Datchet",2 bedroom flat for sale,"£525,000",Reduced on 18/06/2021
15,"Montagu Road, Datchet, Berkshire, SL3",3 bedroom maisonette for sale,"£475,000",Added on 09/07/2021
16,"Priory Way, Datchet, Slough",4 bedroom end of terrace house for sale,"£475,000",Added on 25/06/2021
17,"Horton Road, Datchet, Berkshire, SL3",3 bedroom semi-detached house for sale,"£475,000",Added on 17/05/2021
18,"Ditton Road, Datchet, Berkshire, SL3",2 bedroom end of terrace house for sale,"£465,000",Added on 26/05/2021
19,"Datchet, Berkshire, SL3",2 bedroom flat for sale,"£450,000",Reduced on 29/07/2021
20,"Horton Road, Datchet, Slough",2 bedroom apartment for sale,"£415,000",Added on 28/07/2021
21,"Cobb Close, Datchet, Slough",2 bedroom semi-detached house for sale,"£375,000",Added on 17/05/2021
22,"Hall Court, Datchet, Berkshire",2 bedroom maisonette for sale,"£350,000",Added on 13/05/2021
23,"Hall Court, Datchet, Berkshire SL3",2 bedroom maisonette for sale,"£349,950",Added on 13/09/2019
24,"Slough Road, Datchet, Berkshire, SL3",2 bedroom terraced house for sale,"£344,950",Added on 03/12/2020
25,"Slough Road, Datchet, Berkshire",2 bedroom end of terrace house for sale,"£344,950",Reduced on 26/03/2021
26,"Mill Place, Datchet",2 bedroom terraced house for sale,"£334,950",Added on 03/11/2020
27,"Mill Place, Datchet, Berkshire",2 bedroom terraced house for sale,"£334,950",Added on 28/10/2020
28,"Cedar Court, 60 Lawn Close, Datchet, Berkshire",2 bedroom duplex for sale,"£325,000",Reduced on 18/06/2021
29,"Lawn Close, Datchet, Slough",2 bedroom apartment for sale,"£325,000",Added on 17/05/2021
30,"Inniscrone House, 4 Queens Road, Datchet, Berkshire",2 bedroom apartment for sale,"£325,000",Added on 09/05/2021
31,"Manor House Lane, Datchet, SL3",2 bedroom apartment for sale,"£300,000",Reduced on 25/05/2021
32,"Penn Road, Datchet, Slough, SL3",1 bedroom terraced house for sale,"£255,000",Added on 25/02/2021
33,"New Horton Manor, Dawn Redwood Close, Horton, Berkshire, SL3",2 bedroom apartment for sale,"£250,000",Added on 27/08/2020
34,"Penn Road, Datchet",1 bedroom terraced house for sale,"£245,000",Added on 07/08/2021
35,"Horton Road, Datchet, Berkshire",1 bedroom ground floor flat for sale,"£190,000",Reduced on 15/07/2021
36,"Holmlea Road, Datchet, Slough",Studio flat for sale,"£165,000",Added on 31/07/2021
37,"The Myrke, Datchet, Slough",Land for sale,"£100,000",
